backbone_km,n_repeaters,hops,utility,status
119.5,2,3,0.2819766660526004,optimal
120.0,2,3,0.2698969275257378,optimal
120.5,2,3,0.2578171889988747,optimal
121.0,2,3,0.24573745047201098,optimal
121.5,2,3,0.23365771194514873,optimal
122.0,2,3,0.22157797341828486,optimal
122.5,2,3,0.2094982348914218,optimal
123.0,2,3,0.19741849636455883,optimal
123.5,2,3,0.18533875783769535,optimal
124.0,2,3,0.17325901931083226,optimal
124.5,2,3,0.16117928078396931,optimal
125.0,2,3,0.14909954225710595,optimal
125.5,2,3,0.1370198037302431,optimal
126.0,2,3,0.12494006520338004,optimal
126.5,2,3,0.11286032667651624,optimal
127.0,2,3,0.1007805881496537,optimal
127.5,2,3,0.08870084962279022,optimal
128.0,2,3,0.07662111109592727,optimal
128.5,2,3,0.06454137256906434,optimal
129.0,2,3,0.052461634042201236,optimal
129.5,2,3,0.040381895515337565,optimal
130.0,2,3,0.02830215698847442,optimal
130.5,2,3,0.016222418461612178,optimal
131.0,2,3,0.004142679934748563,optimal
131.5,2,3,-0.007937058592114589,optimal
132.0,2,3,-0.02001679711897834,optimal
132.5,2,3,-0.03209653564584071,optimal
133.0,2,3,-0.044176274172704436,optimal
133.5,2,3,-0.05625601269956763,optimal
134.0,2,3,-0.06833575122643054,optimal
134.5,2,3,-0.08041548975329318,optimal
135.0,2,3,-0.09249522828015713,optimal
135.5,2,3,-0.10457496680702008,optimal
136.0,2,3,-0.11665470533388249,optimal
136.5,2,3,-0.12873444386074606,optimal
137.0,2,3,-0.1408141823876094,optimal
137.5,2,3,-0.15289392091447215,optimal
138.0,2,3,-0.16497365944133535,optimal
138.5,2,3,-0.1770533979681985,optimal
139.0,2,3,-0.1891331364950619,optimal
139.5,2,3,-0.201212875021925,optimal
140.0,2,3,-0.21329261354878726,optimal
140.5,2,3,-0.22537235207565157,optimal
141.0,2,3,-0.23745209060251474,optimal
141.5,2,3,-0.24953182912937702,optimal
142.0,2,3,-0.26161156765624016,optimal
142.5,2,3,-0.2736913061831043,optimal
143.0,2,3,-0.2857710447099667,optimal
143.5,2,3,-0.2978507832368299,optimal
144.0,2,3,-0.3099305217636931,optimal
144.5,2,3,-0.32201026029055635,optimal
145.0,2,3,-0.3340899988174196,optimal
