point,budget,memories,plan,pair,hops,width,max_link_km,wp_min,tau_e2e_ms,storage_ms_heralded,slowest_ms_heralded,t2_ms,repeaters
projected,1000000,2048,base_coord,Calgary-Edmonton,4,512,75.0,1.2141433372987676,3.0,4.131144793529469,0.6169867757511408,100.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3
projected,1000000,2048,base_coord,Calgary-Kamloops,8,256,75.0,0.6070716686493838,6.0,9.199523324219632,1.2339735515022814,100.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
projected,1000000,2048,base_coord,Calgary-Kelowna,8,512,76.2,1.0977917456486765,6.1000000000000005,7.899008888137292,0.6938312873278984,100.0,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
projected,1000000,2048,base_coord,Calgary-Saskatoon,11,512,75.7,1.1462252229469914,8.3,10.188705163452402,0.6598136296102786,100.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3;Edmonton;EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
projected,1000000,2048,base_coord,Calgary-Vancouver,13,256,75.0,0.6070716686493838,9.600000000000001,13.123957740433385,1.2339735515022814,100.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
projected,1000000,2048,base_coord,Edmonton-Kamloops,12,512,75.0,1.2141433372987676,9.000000000000002,10.863227918357028,0.6169867757511408,100.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1
projected,1000000,2048,base_coord,Edmonton-Kelowna,12,256,76.2,0.5488958728243383,9.1,13.14689548731078,1.3876625746557962,100.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1
projected,1000000,2048,base_coord,Edmonton-Saskatoon,7,512,75.7,1.1462252229469914,5.299999999999999,6.9165465486777915,0.6598136296102786,100.0,EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6
projected,1000000,2048,base_coord,Edmonton-Vancouver,17,256,75.0,0.6070716686493838,12.6,16.527753296855966,1.2339735515022814,100.0,CAL-EDM:3;CAL-EDM:2;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1
projected,1000000,2048,base_coord,Kamloops-Kelowna,3,512,63.3,3.1088752419378607,1.9000000000000001,2.2046487631940646,0.20309871751833578,100.0,KAM-KEL:1;KAM-KEL:2
