point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated,utility_under_ext
midrange,20,100,ext,Kamloops-Kelowna,3,100,63.3,KAM-KEL:1;KAM-KEL:2,0.6072021956909884,11.166557073260481,10.296450608658583,8.517707569497244
midrange,20,100,ext,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
midrange,15,100,paper,Calgary-Edmonton,4,100,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.23713737056616555,9.162872839516778,8.10566292277757,2.2698425220726883
midrange,15,100,paper,Kamloops-Kelowna,3,27,63.3,KAM-KEL:1;KAM-KEL:2,0.16394459283656687,9.277588385649226,8.407481921047328,3.722996037763886
midrange,15,100,paper,Kamloops-Vancouver,5,27,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,6.970208819981862,5.781220008640862,-7.776899741125049
midrange,15,100,paper,Kelowna-Vancouver,5,52,78.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1,0.09682853110646922,7.218156136033142,6.028330399138352,-6.5955558203011915
midrange,15,100,paper,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
midrange,15,100,coordinated,Calgary-Edmonton,4,100,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.23713737056616555,9.162872839516778,8.10566292277757,2.2698425220726883
midrange,15,100,coordinated,Kamloops-Kelowna,3,52,63.3,KAM-KEL:1;KAM-KEL:2,0.31574514175931395,10.22314060162685,9.35303413702495,6.247302309227804
midrange,15,100,coordinated,Kamloops-Vancouver,5,27,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,6.970208819981862,5.781220008640862,-7.776899741125049
midrange,15,100,coordinated,Kelowna-Vancouver,5,27,78.0,VAN-KEL:4;VAN-KEL:3;VAN-KEL:2;VAN-KEL:1,0.050276352689897476,6.272603920055517,5.082778183160729,-11.157321096918599
midrange,15,100,coordinated,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
midrange,15,100,ext,Calgary-Edmonton,4,100,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.23713737056616555,9.162872839516778,8.10566292277757,2.2698425220726883
midrange,15,100,ext,Kamloops-Kelowna,3,100,63.3,KAM-KEL:1;KAM-KEL:2,0.6072021956909884,11.166557073260481,10.296450608658583,8.517707569497244
midrange,15,100,ext,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
midrange,10,100,paper,Calgary-Edmonton,2,100,150.0,CAL-EDM:2,0.0005623413251903491,1.732643558202339,1.147656290915643,-9.064425776830403
midrange,10,100,paper,Kamloops-Kelowna,3,52,63.3,KAM-KEL:1;KAM-KEL:2,0.31574514175931395,10.22314060162685,9.35303413702495,6.247302309227804
midrange,10,100,paper,Kamloops-Vancouver,5,27,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,6.970208819981862,5.781220008640862,-7.776899741125049
midrange,10,100,paper,Kelowna-Vancouver,8,27,72.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,4.972483791829318,3.743335040411302,-17.938599761216953
midrange,10,100,paper,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
midrange,10,100,coordinated,Calgary-Edmonton,2,100,150.0,CAL-EDM:2,0.0005623413251903491,1.732643558202339,1.147656290915643,-9.064425776830403
midrange,10,100,coordinated,Kamloops-Kelowna,3,52,63.3,KAM-KEL:1;KAM-KEL:2,0.31574514175931395,10.22314060162685,9.35303413702495,6.247302309227804
midrange,10,100,coordinated,Kamloops-Vancouver,5,27,72.0,VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,6.970208819981862,5.781220008640862,-7.776899741125049
midrange,10,100,coordinated,Kelowna-Vancouver,8,27,72.0,KAM-KEL:2;KAM-KEL:1;Kamloops;VAN-KAM:4;VAN-KAM:3;VAN-KAM:2;VAN-KAM:1,0.08153869645085443,4.972483791829318,3.743335040411302,-17.938599761216953
midrange,10,100,coordinated,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
midrange,10,100,ext,Calgary-Edmonton,4,100,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.23713737056616555,9.162872839516778,8.10566292277757,2.2698425220726883
midrange,10,100,ext,Kamloops-Kelowna,3,100,63.3,KAM-KEL:1;KAM-KEL:2,0.6072021956909884,11.166557073260481,10.296450608658583,8.517707569497244
midrange,10,100,ext,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
midrange,6,100,paper,Calgary-Edmonton,4,100,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.23713737056616555,9.162872839516778,8.10566292277757,2.2698425220726883
midrange,6,100,paper,Kamloops-Kelowna,2,100,126.7,KAM-KEL:1,0.0036869450645195738,4.445551502360351,4.445453751209526,3.3111649064041155
midrange,6,100,paper,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
midrange,6,100,coordinated,Calgary-Edmonton,4,100,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.23713737056616555,9.162872839516778,8.10566292277757,2.2698425220726883
midrange,6,100,coordinated,Kamloops-Kelowna,2,100,126.7,KAM-KEL:1,0.0036869450645195738,4.445551502360351,4.445453751209526,3.3111649064041155
midrange,6,100,coordinated,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
midrange,6,100,ext,Kamloops-Kelowna,3,100,63.3,KAM-KEL:1;KAM-KEL:2,0.6072021956909884,11.166557073260481,10.296450608658583,8.517707569497244
midrange,6,100,ext,Montreal-Ottawa,3,100,66.7,OTT-MON:2;OTT-MON:1,0.46415888336127825,10.778998795523625,9.90785586294756,7.620491828563703
projected,1000000,100,paper,Calgary-Edmonton,4,27,75.0,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3,0.0640270900528647,12.399288867945556,11.342078951206348,0.3266434913332261
projected,1000000,100,paper,Calgary-Kamloops,8,14,75.0,KAM-CAL:7;KAM-CAL:6;KAM-CAL:5;KAM-CAL:4;KAM-CAL:3;KAM-CAL:2;KAM-CAL:1,0.03319923187926317,11.132451724916496,9.691665870685902,-23.434076040441806
projected,1000000,100,paper,Calgary-Kelowna,8,14,76.2,KEL-CAL:7;KEL-CAL:6;KEL-CAL:5;KEL-CAL:4;KEL-CAL:3;KEL-CAL:2;KEL-CAL:1,0.030017743045081,10.987117370765173,9.546167281838168,-24.579760580519334
projected,1000000,100,paper,Calgary-Saskatoon,11,14,75.7,CAL-EDM:1;CAL-EDM:2;CAL-EDM:3;Edmonton;EDM-SAS:1;EDM-SAS:2;EDM-SAS:3;EDM-SAS:4;EDM-SAS:5;EDM-SAS:6,0.03134209593995679,10.80984067750282,9.245699294866522,-39.05101165823067
