point,source,generation_rate_hz,t2_s,link_fidelity,swap_success,budget,memories,paper_status,paper_utility,paper_repeaters,paper_served,paper_mean_hops,coordinated_status,coordinated_utility,coordinated_repeaters,coordinated_served,coordinated_mean_hops,paper_min_wp,paper_median_wp,coordinated_outcome,coordinated_change_kind,coordinated_regret_bits,coordinated_reverse_regret_bits,coordinated_regret_bits_per_pair,coordinated_site_jaccard,coordinated_sites_only_paper,coordinated_sites_only_other,coordinated_d_repeaters,coordinated_d_served,coordinated_pairs_path_differs,coordinated_pairs_width_differs,coordinated_d_mean_hops,coordinated_d_mean_width,coordinated_rate_gain_bits_common
lhs032,lhs,9914.2590534412,0.06300028674663698,0.9423784416202515,0.7852163218157249,20,2048,optimal,33.90982025513567,20,18,6.111111111111111,optimal,15.510481266524083,20,18,6.111111111111111,0.0006415196590429101,0.002722633110573114,changed,routing,0.20342235654800866,0.0,0.011301242030444926,0.9047619047619048,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.01130124203044494
lhs032,lhs,9914.2590534412,0.06300028674663698,0.9423784416202515,0.7852163218157249,10,2048,optimal,-177.78817276096413,10,16,3.25,optimal,-184.99939273169775,10,16,3.25,8.095430810031051e-09,2.9388583350259428e-08,tie,,0.0,2.842170943040401e-14,0.0,0.8181818181818182,1.0,1.0,0.0,0.0,4.0,8.0,0.0,32.0,-5.551115123125783e-17
lhs033,lhs,176693.96463024724,0.08502396012373978,0.9846298558475228,0.8143135395459695,1000000,2048,optimal,238.4205837590182,55,18,9.0,optimal,213.82736092160337,55,18,9.0,0.0025660786361716404,1.0255901798100329,tie,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-1.2335811384723961e-17
lhs033,lhs,176693.96463024724,0.08502396012373978,0.9846298558475228,0.8143135395459695,20,2048,optimal,133.4767864324394,20,18,6.111111111111111,optimal,115.07744744382782,20,18,6.111111111111111,0.0006415196590429101,0.002722633110573114,changed,routing,0.20342235654800334,2.842170943040401e-14,0.011301242030444629,0.9047619047619048,1.0,1.0,0.0,0.0,3.0,8.0,0.0,0.0,0.011301242030444901
lhs033,lhs,176693.96463024724,0.08502396012373978,0.9846298558475228,0.8143135395459695,10,2048,optimal,-101.75473270773239,10,16,3.25,optimal,-108.96595267846604,10,16,3.25,8.095430810031051e-09,5.0681735890487804e-08,tie,,-1.4210854715202004e-14,0.0,-8.881784197001252e-16,0.8181818181818182,1.0,1.0,0.0,0.0,4.0,6.0,0.0,16.0,-8.326672684688674e-17
lhs034,lhs,2312.518890073832,0.00111656549237919,0.9823484600188019,0.5075433318890246,1000000,2048,optimal,0.0,0,0,,optimal,0.0,0,0,,,,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lhs034,lhs,2312.518890073832,0.00111656549237919,0.9823484600188019,0.5075433318890246,20,2048,optimal,0.0,0,0,,optimal,0.0,0,0,,,,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lhs034,lhs,2312.518890073832,0.00111656549237919,0.9823484600188019,0.5075433318890246,10,2048,optimal,0.0,0,0,,optimal,0.0,0,0,,,,identical,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
lhs035,lhs,3157.123373018492,0.09170793893225003,0.9665322362738368,0.6185638703869509,1000000,2048,optimal,64.97908520637787,55,18,9.0,optimal,40.6525154407332,55,18,8.944444444444445,0.0012830393180858202,1.0498069184591903,changed,routing,0.26665307177017894,0.15264227374615302,0.014814059542787718,1.0,0.0,0.0,0.0,0.0,1.0,4.0,-0.05555555555555555,0.0,0.006429024568223798
lhs035,lhs,3157.123373018492,0.09170793893225003,0.9665322362738368,0.6185638703869509,20,2048,optimal,-14.521459422085464,20,18,6.111111111111111,optimal,-32.92079841069705,20,18,6.111111111111111,0.0006415196590429101,0.002722633110573114,changed,routing,0.20342235654798912,7.105427357601002e-15,0.01130124203044384,0.9047619047619048,1.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.011301242030444933
