point,budget,memories,plan,pair,hops,width,max_link_km,repeaters,wp_min,utility_under_paper,utility_under_coordinated,utility_under_ext
projected,20,100,coordinated,Calgary-Kelowna,6,14,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;KAM-KEL:1,7.872778552664888e-05,2.5720586929199047,1.6764588783464178,-52.825192917199544
projected,20,100,coordinated,Calgary-Saskatoon,6,27,151.4,CAL-EDM:2;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.00013532055307936385,3.353494868281405,2.2088828458434353,-51.81262824673529
projected,20,100,coordinated,Calgary-Vancouver,7,14,150.0,KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,7.872778552664888e-05,2.492228589859717,1.4184719906715861,-68.86289770558476
projected,20,100,coordinated,Edmonton-Kamloops,7,14,150.0,CAL-EDM:2;Calgary;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1,7.872778552664888e-05,2.492228589859717,1.3010092722371611,-61.90891390481582
projected,20,100,coordinated,Edmonton-Kelowna,9,14,150.0,CAL-EDM:3;CAL-EDM:2;Calgary;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;KAM-KEL:1,7.872778552664888e-05,2.3325443072962417,1.2623726495456575,-76.56733613545452
projected,20,100,coordinated,Edmonton-Saskatoon,4,27,151.4,EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,0.00013532055307936385,3.5131312141218647,2.6385831848062855,-26.279850077659404
projected,20,100,coordinated,Edmonton-Vancouver,10,7,150.0,CAL-EDM:3;CAL-EDM:1;Calgary;KAM-CAL:7;KAM-CAL:5;KAM-CAL:3;KAM-CAL:1;VAN-KAM:4;VAN-KAM:2,3.936389276332444e-05,1.2526900403536665,0.05775609040782759,-102.56900773691763
projected,20,100,coordinated,Kamloops-Kelowna,3,27,63.3,KAM-KEL:1;KAM-KEL:2,0.16394459283656687,13.835549168309454,12.965442703707554,8.280956820424112
projected,20,100,coordinated,Kamloops-Saskatoon,10,7,151.4,KAM-CAL:1;KAM-CAL:3;KAM-CAL:5;KAM-CAL:7;CAL-EDM:1;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,3.508310635390915e-05,1.086593635609302,-0.31743558876408196,-122.31396348908066
projected,20,100,coordinated,Kamloops-Vancouver,3,27,144.0,VAN-KAM:4;VAN-KAM:2,0.0002462429266260956,4.456638847077467,3.8716036459593663,-11.204029335456328
projected,20,100,coordinated,Kelowna-Saskatoon,11,7,151.4,KAM-KEL:1;KAM-CAL:1;KAM-CAL:3;KAM-CAL:5;KAM-CAL:7;CAL-EDM:1;CAL-EDM:3;EDM-SAS:1;EDM-SAS:3;EDM-SAS:5,3.508310635390915e-05,1.0067312260513106,-0.39857050184523435,-141.66725526924347
